what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.ModuleView",1429891300183
activated,view,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.DebugView",1429891309364
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.Terminate",1429891309439
error,log,,,"Inferior terminated",1429891309461
error,log,,,"Inferior terminated",1429891309464
error,log,,,"Inferior terminated",1429891309467
error,log,,,"Inferior terminated",1429891309470
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429891315672
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429891359350
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429891359458
stopped,bundle,com.zylin.embeddedcdt,4.9.1,"com.zylin.embeddedcdt",1429891359568
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.ui",1429891359568
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.core",1429891359568
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200906161748,"org.eclipse.cdt.dsf.gdb.ui",1429891359568
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.0.200906161748,"org.eclipse.cdt.dsf.ui",1429891359569
stopped,bundle,org.eclipse.cdt.launch,6.0.0.200906161748,"org.eclipse.cdt.launch",1429891359569
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.ui",1429891359569
stopped,bundle,org.eclipse.cdt.dsf.gdb,2.0.0.200906161748,"org.eclipse.cdt.dsf.gdb",1429891359569
stopped,bundle,org.eclipse.cdt.dsf,2.0.0.200906161748,"org.eclipse.cdt.dsf",1429891359570
stopped,bundle,org.eclipse.cdt.debug.core,6.0.0.200906161748,"org.eclipse.cdt.debug.core",1429891359570
